,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
554,Warehouse Operative (Current  Employee),Warehouse Operative ,Current Employee, Stoke, Stoke, Stoke,on,It’s okay,"It’s an okay job.. quiet tiring but the pay is not too bad . No dress code, not great shifts , no food or anything available.. no buses on night shift", , ,4,Amazon.com
555,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, San Marcos, TX ," San Marcos, TX "," November 27, 2021",benefits and pay,"Hardest part of the job is consistency and communication, there's times where you'll be same department doing the same things but if you communicate as much as you hopefully something different to do. pay and benefits were great!",pay,"management, toxic work environment",3,Amazon.com
556,Amazon Delivery Driver (Former  Employee),Amazon Delivery Driver ,Former Employee, Chesapeake, VA ," Chesapeake, VA "," November 27, 2021",Amazon is Cool,"Amazon is good, four days on three days off except holidays, good benefits, most of the time cool people working there, very fast paste, they keep track of everything you do.",stable job,rushed work,4,Amazon.com
557,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Columbus, OH ," Columbus, OH "," November 27, 2021",Productive and fun to work,I love my job. The management will do everything to help you with your schedule. The pay and benefits are great. The only downside is there is a lot of physical demand and few personal time.,"Pay, benefits",Physical demanding,4,Amazon.com
558,Sorter/Packer (Former  Employee),Sorter/Packer ,Former Employee, Thornton, CO ," Thornton, CO "," November 26, 2021",Productive fun company. Enjoyable coworkers who were very friendly.,Great company and coworkers to work with.No complaints. Happy for the opportunity to work with Amazon. Enjoyed learning how to pack product from computer screen and enjoyed the Zen breaks.,Good hours. Flexible.,No complaints.,5,Amazon.com
559,Operations Manager (Former  Employee),Operations Manager ,Former Employee, Moreno Valley, CA ," Moreno Valley, CA "," November 26, 2021",Good work but terrible senior “leadership”,Enjoyed the area managers and associates but the senior management is all about the good ole boy club. The “projects” waste more than help. Amazon would benefit from using actual project process instead of changing things to get people promoted.,"Good pay, good people to work with",Politics and bad senior Ops,3,Amazon.com
560,Self Employed Courier (Former  Employee),Self Employed Courier ,Former Employee, West Lothian , West Lothian , West Lothian ," November 26, 2021",Raa couriers,"Thought this company were great then I took not well which they were brilliant then I took not well again ended up in hospital got a sick not and was told not to go back so lost my job which I was gutted as i loved my job but it’s not the kind of job you want as they don’t care about your health they only care about you attending work you could have a heart attack
And they would still want you to turn up !!!", , ,1,Amazon.com
561,Driver (Current  Employee),Driver ,Current Employee, Orlando, FL ," Orlando, FL "," November 26, 2021",Aigh,"Everything is everting but nothing is nothing, we do what we love and love what we do. No matter what time of day, the sun still shines somewhere. Pay is okay, time is worth more. We do what we love because it’s always worth it. Despite the time difference, we do this funky town", , ,3,Amazon.com
562,Business Analyst (Former  Employee),Business Analyst ,Former Employee, United States , United States , United States ," November 26, 2021",Similar to most reviews here: good place to learn but cannot stay long - burnout expedred,"It’s not just a stereotype and burning out at Amazon doesn’t just apply to Amazon warehouse workers.

Everything is on fire all the time, and you will be completely stressed out most of the time. It’s not worth it and life shouldn’t be that hard. You do learn a lot but they really don’t care about you.",People are nice,No work life balance. Stressful.,2,Amazon.com
563,Stocker (Current  Employee),Stocker ,Current Employee, Joliet IL , Joliet IL , Joliet IL ," November 26, 2021",Great place to work! Hours & pay are good,Great work environment. Hours and pay us great as well. The benefits are good too. I couldn’t be more grateful. Be ready to stand for long periods of time., , ,5,Amazon.com
564,Fulfillment Associate (Former  Employee),Fulfillment Associate ,Former Employee, Bristol , Bristol , Bristol ," November 26, 2021",No fun workplace,"A typical day at work is rely to your country, each 2 hours they came and tell you that your productivity is less than other days even if you are the best of the company.

No opportunities to grow there, but all the managers and team leaders even Human Resources workers are from the same country is realy disgusting.

Now I worked in lot of warehouse and I have a permanent contract in one of them, without rush and working without sweat. Really i remember Amazon like a prision. I do not wish it to anyone. I am really happy where i am now.",Just money for non stop work like a slave.,Work without stop,1,Amazon.com
565,Package Handler/Sorter (Former  Employee),Package Handler/Sorter ,Former Employee, Brownstown, MI ," Brownstown, MI "," November 26, 2021",overall okay,"long hours good pay, the managers are a little strict but other than that it is a straight forward job that pays somewhat fairly. when it gets busy though it can be fast paced",money,"hours standing, strict management",3,Amazon.com
566,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, Kent, WA ," Kent, WA "," November 26, 2021",Good Benefits,Not a bad place to work and has good benefits. Been working here for the past 2 years its a job that will keep you active if you dont like sitting around., , ,4,Amazon.com
567,Agent d'exploitation logistique (Former  Employee),Agent d'exploitation logistique ,Former Employee, Augny (57) , Augny (57) , Augny (57) ," November 26, 2021",Très bien,J'ai postulé chez amazon un mercredi matin on m'a rappelé le mercredi soir pour me proposer un teste le vendredi soir ont y restes environ 3h ou l'équipe de formateurs vous explique les règles on nous montre des vidéos sur la sécurité et a la fin un teste avec des questions simple ou toutes les réponses étaient dans les vidéo ou dans les explications en plus ont vous suggère de prendre des notes pour vous faciliter le teste. Les résultats sont donné directement. Le teste réussit j'ai commencé à travailler directement le lundi suivant la première semaine de travail ont et en essai une fois les 5 jours d'essai passé si ont fait correctement son travaille pas de soucis personnellement dans l'amazon ou je travaille l'embiance et vraiment bien des vendredi à thème comme le november ou tout le monde vient habillé en bleu avec une moustache sur le masque ou on et accueilli en musique avec les leader ship qui nous aplaudisent quand ont arrive ou encore du pop corn offert pandent la pause. Les horaires de nuit sont de 21h15 à 6h avec plusieurs navette pour ceux qui n'ont pas le permis. Les repas sont bon pour 3.50 € pour un repas complet. distributeur de café gratuit distributeur de boissons et friandise à prix bas. Grand Espace fumeur avec tables et banc pour s'assoie. Deux pose de 35 min une à 0h10 et une à 3h20. Le travail et soutenu c'est vrai mais franchement les leaders ship son simpas les manager present si besoin. Si vous faites votre travail personne ne vient vous embêter ou vous mettre la pression même quand vos chiffres ne sont pas fou. Les instructeur passe vous donner des,Café gratuit. Soirée à thème. Bonne ambiance,Trop longtemps sur le même poste,5,Amazon.com
